epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,445.161,1.19291,2.93084,1.40976,0.05831,0.42333,0.10379,0.07519,1.50775,3.50568,1.71423,0.06766,0.000326667,0.000326667
1,395.644,1.2121,3.09869,1.47212,0.00378,0.4364,0.0775,0.05377,1.59333,3.68889,1.89912,0.06766,0.000326667,0.000326667
2,799.392,1.22734,2.65033,1.50169,0.55342,0.13252,0.13706,0.10037,1.37571,3.14281,1.57405,0.0345947,0.00059466,0.00059466
3,1269.74,1.2365,2.39235,1.48575,0.46883,0.24813,0.19702,0.13958,1.36035,2.53894,1.58604,0.00146332,0.000796653,0.000796653
4,11171.7,1.1607,2.25609,1.43341,0.49477,0.2518,0.18781,0.13312,1.30704,2.60033,1.54065,0.000703,0.000703,0.000703
5,11728.6,1.12126,2.11981,1.40711,0.28368,0.28835,0.2173,0.15866,1.30571,2.41222,1.54306,0.000604,0.000604,0.000604
6,12239.8,1.07462,2.04498,1.35227,0.47244,0.33203,0.21278,0.14831,1.18934,2.23086,1.41383,0.000505,0.000505,0.000505
7,12661.1,1.02751,1.9488,1.33652,0.55568,0.31995,0.2494,0.18717,1.13395,2.12403,1.37926,0.000406,0.000406,0.000406
8,13109.7,0.97351,1.87444,1.31276,0.51346,0.35536,0.26517,0.20214,1.08065,2.05966,1.33527,0.000307,0.000307,0.000307
9,13544.9,0.90985,1.86126,1.25712,0.47784,0.38674,0.25771,0.19684,1.03503,2.02069,1.30258,0.000208,0.000208,0.000208
10,13978.9,0.86605,1.73417,1.22867,0.50651,0.39358,0.26818,0.2068,0.99757,1.94905,1.27628,0.000109,0.000109,0.000109
